Subject,words,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
6,dictator,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,palace,7,10,7,7,8,9,8,8,10,3,10,8,10,6,10,10,8,10,10,0,8,10,8,10,10,10,8,8,8,7,4,8,9,8,10,10,9,10,7,10,10,10,7,8,3,8,9,6,7,7,10,9,5,8,7,7,9,7,7,8,7,7,9,7,7,8,10,7,6,10,6,8,9,7,7,5,9,8,7,7,8,7,4,7,9,7,3,7,7,10,6,3,8,7,10,8,9,9,5,7
8,throne,1,1,1,1,4,3,1,5,1,2,6,5,5,1,2,6,2,2,1,1,1,2,1,1,1,2,6,5,5,6,1,2,2,4,3,2,3,1,3,2,9,1,2,1,2,1,4,2,2,4,5,1,3,3,1,2,6,1,6,2,2,3,1,5,2,1,3,3,4,1,1,1,2,3,1,2,8,2,1,1,1,3,2,1,3,3,7,6,3,1,2,4,3,1,1,2,2,4,2,1
9,chess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,rule,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
11,subjects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,monarch,5,3,3,3,5,7,3,4,6,5,5,2,4,2,4,2,4,1,3,6,2,5,2,5,4,5,2,3,6,3,6,1,5,1,1,6,4,3,1,3,2,5,4,2,7,3,5,1,4,3,3,4,7,4,2,4,7,3,1,3,5,1,4,2,6,6,4,6,2,6,8,3,3,2,2,1,4,3,5,3,3,2,1,3,4,5,1,2,4,5,1,6,5,4,5,1,3,2,4,4
13,royal,2,4,5,2,3,6,6,1,7,6,4,4,6,3,3,3,5,5,4,3,5,3,4,2,2,4,4,1,2,5,2,4,6,3,5,1,6,4,5,6,3,2,6,6,5,2,3,4,1,5,4,3,6,1,6,3,8,6,3,1,6,5,3,1,1,3,1,4,3,8,3,4,1,5,5,3,6,1,3,5,2,1,7,2,7,4,2,1,5,3,4,2,4,6,3,3,8,5,7,2
14,leader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,reign,4,5,4,5,1,4,5,3,2,1,1,3,7,4,1,1,1,3,2,4,6,1,3,3,3,3,1,2,4,2,7,5,1,5,2,3,1,2,2,5,4,3,1,7,1,5,2,3,3,1,2,2,2,7,5,1,1,5,5,5,1,2,5,4,3,4,6,1,1,2,2,2,4,4,3,4,1,4,6,6,5,5,8,5,1,1,8,5,2,2,5,7,1,3,2,5,1,3,3,3
othr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,city,2,2,5,4,2,5,3,1,5,4,2,6,3,4,1,5,2,3,4,3,3,3,3,3,4,2,6,5,2,1,4,5,6,1,3,6,5,4,1,5,2,3,2,2,4,3,7,4,2,4,1,2,1,4,4,2,1,7,3,3,5,6,3,1,7,2,3,2,1,2,4,3,1,1,5,2,4,2,4,7,1,3,3,2,1,1,4,2,1,5,4,7,5,3,1,3,4,7,2,5
1,town,4,8,7,8,7,7,6,5,7,7,8,4,2,6,6,6,9,6,8,7,6,7,6,7,6,3,5,6,6,7,7,7,10,3,8,3,9,5,7,7,7,6,6,4,5,6,5,8,5,7,6,7,8,7,5,9,7,2,6,8,7,2,7,5,4,5,6,4,6,8,6,8,8,6,9,7,6,7,6,6,4,5,6,7,9,7,7,5,5,2,8,6,9,8,6,8,6,4,7,7
2,crowded,3,7,6,6,5,3,4,3,3,6,7,3,1,5,5,2,7,4,7,5,5,6,5,6,3,1,3,3,5,6,6,6,3,2,5,2,8,3,6,6,5,4,5,3,8,4,4,6,3,1,5,5,5,6,8,8,5,1,5,1,4,5,1,2,3,4,4,3,4,7,2,7,4,4,8,3,7,6,5,5,3,4,4,6,2,6,6,4,4,1,7,5,8,6,4,7,5,3,1,6
3,state,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,streets,6,3,8,3,6,6,5,6,4,8,6,5,4,7,4,4,8,5,5,6,7,8,7,4,2,7,4,4,7,8,8,4,7,6,7,7,4,6,5,4,6,5,4,6,6,7,6,5,4,6,4,8,4,8,2,7,8,8,7,5,8,7,6,6,6,7,5,5,5,5,8,6,7,5,6,6,5,8,7,8,5,6,5,5,8,8,8,6,8,6,9,4,6,7,5,9,7,8,5,8
6,subway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
7,square,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
