Ss/list order:,words,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,57a,58a,59a,60a,61a,62a,63a,64a,65a,12b,13b,14b,15b,16b,17b,18b,19b,20b,21b,44b,46b,47b,48b,50b,52b,53b,54b,55b,56b,22c,23c,25c,26c,27c,28c,29c,30c,31c,32c,66c,67c,69c,70c,71c,72c,73c,74c,75c,76c,33d,34d,35d,36d,37d,38d,39d,40d,41d,42d,43d,77d,79d,81d,82d,85d,86d,87d,88d,89d
othr,,1,0,1,0,1,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
CL,cottage,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0
1,house,0,9,8,7,1,7,11,5,0,8,1,9,2,7,1,13,8,7,3,0,5,5,11,4,2,6,9,9,4,1,3,5,8,3,1,5,1,3,2,1,8,4,8,0,2,0,0,5,8,2,6,0,1,0,1,2,5,14,6,0,9,11,3,5,0,5,0,5,3,1,5,3,0,8,3,1,0,6,1,4
2,lake,4,8,7,0,4,9,10,6,10,7,0,0,0,0,3,11,10,9,5,0,7,6,9,0,1,9,6,8,0,2,6,0,7,4,6,4,2,5,10,3,9,7,7,7,0,7,5,4,9,0,7,0,12,8,0,0,10,10,5,0,10,12,7,6,0,7,7,6,0,2,6,6,7,9,7,8,0,9,2,3
3,cheese,0,6,10,0,5,0,0,7,0,9,3,0,0,0,7,10,0,11,10,3,6,8,0,3,3,11,11,0,6,0,10,0,5,5,12,6,0,6,0,0,11,0,9,6,0,6,8,0,0,0,8,0,4,7,2,0,0,0,3,0,11,9,9,10,0,0,8,7,7,3,7,5,5,5,5,0,8,8,0,7
4,home,8,0,12,10,2,0,0,0,8,0,0,4,3,1,2,14,9,8,11,0,3,0,1,5,4,7,10,0,5,8,5,6,0,9,2,0,0,4,0,2,10,0,0,0,0,5,6,0,7,0,0,0,2,0,0,0,0,13,8,6,7,10,4,7,6,6,2,0,5,10,0,4,0,7,4,2,10,7,6,0
5,white,9,5,9,6,0,6,9,8,0,5,2,0,0,2,6,12,5,10,7,2,8,0,3,2,5,10,0,0,1,11,8,0,0,10,7,7,0,0,0,10,14,5,4,5,0,0,7,0,0,0,0,0,5,6,3,0,9,5,0,7,8,0,8,9,0,0,9,9,6,7,8,10,0,6,6,9,12,0,4,8
6,cabin,0,7,11,2,3,8,8,9,9,0,0,0,5,3,0,9,6,12,4,4,0,0,0,1,6,0,8,10,10,3,4,4,1,11,3,0,0,7,7,0,13,6,10,0,3,8,0,0,6,0,0,0,7,5,0,3,6,0,0,8,4,8,13,0,5,4,0,0,4,0,4,0,4,0,1,0,2,5,5,0
7,small,0,0,0,9,0,10,0,0,0,11,0,7,4,0,5,7,7,13,8,0,0,0,0,11,0,0,0,11,0,0,1,10,0,12,13,0,4,0,8,0,6,8,0,0,0,3,10,0,0,0,0,0,3,0,0,1,7,4,0,0,5,0,15,8,8,0,6,0,11,4,0,12,1,10,8,0,0,0,0,0
8,door,5,0,0,8,0,0,0,0,0,10,0,8,0,0,0,8,11,14,0,5,0,0,0,0,0,0,0,0,9,0,0,0,9,6,0,10,0,8,3,0,7,0,5,8,0,0,11,0,0,0,0,7,0,0,0,0,0,12,0,0,6,7,14,0,0,0,0,8,10,0,0,13,8,11,9,0,0,0,0,10
